Locus 1	Hs_est	0.3073684210526315	0.010100831024930753	0.03350096354324215	0.09473684210526312	0.4421052631578948
Locus 1	Ht_est	0.4926842105263158	0.000529997229916897	0.007673889568001186	0.4289473684210527	0.5110526315789474
Locus 1	G_est	0.37406694473365204	0.0423182380199089	0.06857132379250487	0.1349124613800206	0.8095238095238095
Locus 1	G_Hedrick	0.6473637754359709	0.048109495649836194	0.07311292304817572	0.34873598507665704	0.9789590254706532
Locus 1	D_est	0.5056942003528299	0.045615165566967236	0.07119235724193311	0.22131147540983642	0.88953488372093
Locus 2	Hs_est	0.45157894736842097	0.0032011080332409987	0.018859445123335705	0.3473684210526315	0.5157894736842105
Locus 2	Ht_est	0.49478947368421056	0.0001524349030470915	0.004115484351771591	0.46368421052631575	0.5078947368421052
Locus 2	G_est	0.08798879921303913	0.011621574282648607	0.03593446856995941	-0.02564102564102545	0.2508513053348469
Locus 2	G_Hedrick	0.19757883083279434	0.059126495434730676	0.08105313444808267	-0.07801418439716251	0.5197224119952538
Locus 2	D_est	0.14041121612656066	0.02966759190095658	0.05741427610016769	-0.05106382978723365	0.37758620689655187
